구,교통이용만족도_평균,보행환경만족도_주거지역,녹지현황(개소),상수도요금평단,구별 의료기관 수,노인여가복지시설 개수,도시 위험도,구별 지방세 징수액,구별 주택매매지수,보육시설이용률,구별 초등학교 교원 1인당 학생 수,구별 중학교 교원 1인당 학생 수,구별 고등학교 교원 1인당 학생수,구별 유치원 교원 1인당 학생 수
강남구,0.020282781870461078,0.10303446093698596,0.012302695739670086,0.011574262989821383,0.40617182123491197,0.03181855980223807,-0.03438490580842158,0.2327919150351989,-0.0009286096911628556,0.039454999663470124,-0.007924992717310975,-0.008320280338611695,-0.016376219153574595,0.07463349501816079
강동구,0.1373263706438526,0.15771074613926916,-0.014897861364253475,0.01065254534574039,0.05239692892676337,-0.030879971545645077,0.09336951218249775,-0.045431834821969844,0.00584246772442704,-0.03782663267844457,-0.012140496797089857,-0.0011625933546679308,-0.03818029026718456,-0.36218174820819427
강북구,0.2128212319480911,0.09470019552243457,-0.06010627342436133,-0.008705372121586143,-0.15509792795272925,-0.09182849316590104,0.048474945644403675,-0.14923756687654205,0.004587259697550748,-0.0013399846020098103,-0.015234647226238093,-0.013537937764509712,-0.055938702040341334,0.088389462013301
강서구,0.07420973510756039,-0.1544427196659025,0.0061654995233489645,0.016986441383076128,0.05815982233145867,0.32782865374423775,0.1808522475208173,-0.026637641011629264,-0.005994344435572658,-0.07244014332315755,-0.04534421755215647,-0.005769854640312867,-0.008021625718205532,-0.017147054042563954
관악구,0.026093233204393676,0.0358317585925606,-0.05492442141183806,-0.016900408954877433,0.016326361341989493,-0.10844070370242255,0.09362630591528133,-0.23630401472400603,-0.036844315113485605,0.02303598251472947,0.01914620216368454,0.014771971328130675,0.10918345633058162,-0.20857086470201897
광진구,-0.04750846560374535,0.044414084802427284,-0.04592699450792607,0.03216139862945998,-0.15114588742680232,-0.17583431389847712,-0.015044553589484588,-0.15316945591574302,-0.0246838129545385,-0.014063476838767429,-0.02819059360254603,-0.01855610420638617,-0.189469972747054,0.05983088527664215
구로구,0.19401094463700366,0.11569953123578444,0.030702592243071484,-0.04117083938739933,-0.12122094417869948,0.15689825839774107,0.026564094259436778,-0.0880289766022069,-0.01076798199691519,-0.17211251080576326,0.013057227405445467,0.003525890746389386,0.008585904498996698,-0.017654303605146665
금천구,0.07161491014364142,-0.17917922275744172,-0.053777371062251125,-0.05744205138793791,-0.17713600279414066,-0.12970249260924283,-0.031220757965427084,-0.07192762818629869,-0.008758549173147624,0.10836489346407809,0.04204058919813638,0.010276711431930471,0.0034246427139969816,-0.05513417711232895
노원구,-0.0782190882653743,-0.13469465170215922,0.03427706434691138,-0.02618748070890481,0.02018842246352485,0.25379748469962904,0.13445331258525905,-0.09851792006274998,-0.02579831511553608,-0.021727901998653903,-0.03081954280748209,-0.01810869040625494,-0.0033450038358042882,-0.1198651210017561
도봉구,-0.05588595346136008,-0.1668084309603023,-0.001653953476898332,-0.00383301001792665,-0.24573939733233657,-0.014543824057227032,0.18968076559551697,-0.16482343174746678,0.007760057137606688,0.0949696127370992,-0.028207397933633957,-0.0012111514744951844,0.0031833891801471203,0.021699624887983195
동대문구,-0.2562944056748431,-0.18861990600964154,0.010066667109712607,-0.05516551572130357,-0.06646779201017854,-0.02483512683552564,0.07581952872088595,-0.191936015407583,-0.0225857874712294,0.02224044979849519,0.0016911636089359482,0.013436873698423458,0.05881227609563748,0.012028491837604304
동작구,0.06610856495934751,0.1271329840435698,-0.05979790451115907,-0.007233499839854059,-0.10673921170253213,-0.012276653352889863,0.2081507707007749,-0.1246917300778019,-0.0028739137811904076,-0.07574425688263225,-0.03455133847934874,0.0018895662111114403,0.02155901497856775,0.15125059047922013
마포구,-0.2126707371726964,0.033964482734359314,0.10333323864116174,0.05251561014484842,-0.008459788667690291,0.08351302870721482,-0.1287395642674688,-0.024163698041026225,-0.010677554042791979,-0.08969151401871278,0.0354396480090347,-0.008237111753910762,-0.016717117598285886,-0.1918769062007979
서대문구,-0.18781729419266657,-0.1682481949304728,-0.044602894113862444,0.024331484729376882,-0.17577478288287027,-0.09472072700460334,0.07259684684940733,-0.12372651067920368,-0.0019193913462237236,-0.002123005478544681,-0.013210512615453118,0.004012004705908942,-0.021381707106460878,0.06553464336494537
서초구,0.04809965623384722,0.24235097924608923,-0.0035116779709587153,0.0245793046055888,0.2513074048288865,-0.018651928215926376,0.01885518500582318,0.21931454831736993,0.005231621167680669,-0.019743055137622156,-0.05486290884052564,-0.01653924038788642,-0.043296693769676924,0.03365579627211821
성동구,-0.15719576106355626,-0.19586085168030046,0.0492893095003439,-0.04940677237193038,-0.16666158807204762,0.037388727790971396,0.09313308209204035,-0.05647590935802965,0.012722533545335056,0.00016672154238281953,0.04452499605363225,0.015971557606311738,0.09489794235460808,0.026304246968510085
성북구,-0.01614612836711271,0.048853231865101814,0.014332690867298468,-0.03439635931658551,-0.13587755866218343,0.08923736678279028,0.298187812130893,-0.16008616745043505,0.004077515460134151,-0.0626826834782894,-0.04544401527024712,-0.005960045432280411,0.041223272989124544,-0.043495151927524095
송파구,0.11184929306855089,0.2473555149956298,0.0016253399136197636,0.006753621731142809,0.17633681999144216,0.05251249735977216,0.06859488047200997,0.10892999793950377,0.009479625840671281,-0.13442460372485682,-0.013220795301160231,-0.009342796749890667,-0.02848065999195658,0.03109355291979303
양천구,-0.10442827294577998,-0.05220722665622553,-0.03419150555271379,0.018448508089024502,-0.04137483706037755,0.1250007288911259,0.2015140467653005,-0.08733627376503812,0.01772549138933656,-0.028474094958334095,-0.07442301985996164,-0.04561478831046132,-0.10723800199084267,0.06202320376547804
영등포구,-0.12353486829019929,-0.14427585032160709,0.03428728345000159,-0.04513575748640406,0.04005458569248427,0.1556920912451605,-0.12005383849264174,0.1749866407063863,0.002836892299482225,-0.021731485968757482,0.05166648163248385,0.00895372670813496,0.03446510556586197,0.04232539214039469
용산구,-0.031187614874061395,-0.1908318867364908,0.025563234577870877,0.025995023347718527,-0.23362221098097027,-0.09596480668262003,-0.10015282328399112,0.009353432087358742,0.028049731286643093,-0.08014540915829926,0.06524916981286846,0.015605109949637546,0.08108288401923648,-0.01719666320223351
은평구,0.10056695574259945,0.15079884207129862,-0.058126603604400286,0.03707984857776128,-0.07243770557786518,0.038512047070750614,0.19721604797057493,-0.15664010633099573,0.0028160254326359433,0.04860873269847872,-0.06355388515123939,-0.02156307539429847,-0.004370720981445249,-0.047709403395656116
종로구,-0.08117881152062457,-0.051555173947463555,0.029588783792136565,0.06339469221548531,-0.06853205214933604,-0.11978444900073375,-0.2863115931347725,0.030927259412217484,0.004458695221354112,0.14527683614740713,0.058948519928639004,0.022303180553317776,0.028685963646263735,-0.00905398933024845
중구,0.07718391983214547,0.022784417200020755,0.017769626468977832,0.002321673426101835,-0.04062245698817394,-0.13055388290862596,-0.37313966787772684,0.1192163230516797,0.0017513327272404755,0.06849241254977863,0.027217025980269566,0.029091863482867766,0.04018757140644542,0.0496678260999459
중랑구,-0.18730653364409236,-0.19496590490274995,-0.0028750121694722176,-0.049685159843343846,-0.18222564603976588,-0.057929444675666464,0.021766293971611006,-0.18645457560653722,-0.007950372627717327,-0.031529162113714225,0.01926275429565203,0.005146368290699793,0.022592440443286815,0.030310331375690884
